item,task,worker,tstart,tproc
0,11,3,0.000000,31.200000
1,11,4,0.000000,31.200000
2,11,5,0.000000,31.200000
3,16,6,0.000000,18.000000
4,1,1,0.000000,15.600000
4,7,1,15.600000,16.800000
5,1,0,15.600000,15.600000
3,24,6,18.000000,14.400000
0,12,3,31.200000,30.600000
1,12,4,31.200000,30.600000
2,12,5,31.200000,30.600000
5,11,0,31.200000,31.200000
6,11,2,31.200000,31.200000
3,11,6,32.400000,31.200000
4,8,1,32.400000,35.400000
0,13,3,61.800000,94.800000
1,13,4,61.800000,94.800000
2,16,5,61.800000,18.000000
5,12,0,62.400000,30.600000
6,12,2,62.400000,30.600000
3,12,6,63.600000,30.600000
4,11,1,67.800000,31.200000
2,1,5,79.800000,15.600000
5,16,0,93.000000,18.000000
7,11,2,93.000000,31.200000
8,11,6,94.200000,31.200000
2,7,5,95.400000,16.800000
3,1,1,99.000000,15.600000
4,12,0,111.000000,30.600000
2,8,5,112.200000,35.400000
3,25,1,114.600000,29.400000
5,7,2,124.200000,16.800000
6,1,6,125.400000,15.600000
5,8,6,141.000000,35.400000
6,7,2,141.000000,16.800000
4,9,0,141.600000,21.600000
3,26,1,144.000000,31.200000
2,9,5,147.600000,21.600000
0,16,3,156.600000,18.000000
1,1,4,156.600000,15.600000
6,13,2,157.800000,94.800000
4,13,0,163.200000,94.800000
2,2,5,169.200000,16.800000
1,7,4,172.200000,16.800000
0,1,3,174.600000,15.600000
3,7,1,175.200000,16.800000
5,9,6,176.400000,21.600000
2,3,5,186.000000,42.600000
1,8,4,189.000000,35.400000
0,7,3,190.200000,16.800000
3,8,1,192.000000,35.400000
5,2,6,198.000000,16.800000
0,8,3,207.000000,35.400000
5,3,6,214.800000,42.600000
1,9,4,224.400000,21.600000
3,2,1,227.400000,16.800000
2,24,5,228.600000,14.400000
0,9,3,242.400000,21.600000
2,25,5,243.000000,29.400000
7,12,1,244.200000,30.600000
1,2,4,246.000000,16.800000
3,13,2,252.600000,94.800000
6,8,6,257.400000,35.400000
4,2,0,258.000000,16.800000
1,3,4,262.800000,42.600000
0,2,3,264.000000,16.800000
2,13,5,272.400000,94.800000
4,3,1,274.800000,42.600000
5,24,0,274.800000,14.400000
0,3,3,280.800000,42.600000
5,25,0,289.200000,29.400000
6,2,6,292.800000,16.800000
1,14,4,305.400000,14.400000
6,3,6,309.600000,42.600000
4,14,1,317.400000,14.400000
5,26,0,318.600000,31.200000
1,16,4,319.800000,18.000000
0,14,3,323.400000,14.400000
4,15,1,331.800000,6.000000
0,24,3,337.800000,14.400000
1,15,4,337.800000,6.000000
7,1,1,337.800000,15.600000
8,12,4,343.800000,30.600000
1,4,2,347.400000,91.200000
3,3,0,349.800000,42.600000
0,25,3,352.200000,29.400000
6,9,6,352.200000,21.600000
7,7,1,353.400000,16.800000
2,4,5,367.200000,91.200000
7,8,1,370.200000,35.400000
6,14,6,373.800000,14.400000
8,1,4,374.400000,15.600000
0,26,3,381.600000,31.200000
4,16,6,388.200000,18.000000
6,15,4,390.000000,6.000000
3,9,0,392.400000,21.600000
8,7,4,396.000000,16.800000
7,9,1,405.600000,21.600000
4,24,6,406.200000,14.400000
0,15,3,412.800000,6.000000
8,8,4,412.800000,35.400000
3,14,0,414.000000,14.400000
9,11,3,418.800000,31.200000
0,17,6,420.600000,12.000000
7,2,1,427.200000,16.800000
3,15,0,428.400000,6.000000
0,18,6,432.600000,21.000000
3,17,0,434.400000,12.000000
1,5,2,438.600000,87.600000
4,4,1,444.000000,91.200000
3,18,0,446.400000,21.000000
5,17,4,448.200000,12.000000
7,3,3,450.000000,42.600000
0,19,6,453.600000,18.600000
2,14,5,458.400000,14.400000
5,13,4,460.200000,94.800000
6,16,0,467.400000,18.000000
0,20,6,472.200000,8.400000
2,5,5,472.800000,87.600000
8,2,6,480.600000,16.800000
6,24,0,485.400000,14.400000
0,21,3,492.600000,18.000000
9,12,6,497.400000,30.600000
6,25,0,499.800000,29.400000
0,22,3,510.600000,18.000000
1,6,2,526.200000,55.200000
3,19,6,528.000000,18.600000
0,23,3,528.600000,18.000000
6,17,0,529.200000,12.000000
7,13,1,535.200000,94.800000
4,25,0,541.200000,29.400000
3,20,3,546.600000,8.400000
6,26,6,546.600000,31.200000
0,4,3,555.000000,91.200000
